                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.99673,                0.73103,                 1.1644,                0.72638,                0.70679,                0.72885,                0.40168,                 1.8157,                 1.2081,                 1.7933,               0.005347,               0.005347,               0.005347
                    143,                0.99638,                0.73765,                 1.1693,                0.71742,                0.71674,                0.73129,                0.39719,                  1.821,                 1.2109,                 1.7878,               0.005314,               0.005314,               0.005314
                    144,                0.99887,                0.73156,                 1.1685,                0.70461,                0.72868,                0.72503,                 0.4017,                 1.8302,                 1.2051,                  1.802,               0.005281,               0.005281,               0.005281
                    145,                0.98196,                0.73332,                 1.1631,                0.70764,                0.71713,                0.72726,                0.40565,                 1.8404,                 1.1959,                 1.8148,               0.005248,               0.005248,               0.005248
                    146,                 0.9913,                  0.732,                 1.1647,                0.68661,                0.72168,                0.71687,                0.39874,                 1.8567,                 1.1962,                 1.8282,               0.005215,               0.005215,               0.005215
                    147,                0.98262,                0.72898,                 1.1605,                0.69052,                0.72946,                0.72374,                0.40234,                 1.8209,                 1.1798,                 1.8124,               0.005182,               0.005182,               0.005182
                    148,                0.97316,                0.72532,                 1.1568,                0.69899,                0.70995,                0.71825,                0.39112,                 1.8365,                 1.1952,                 1.8167,               0.005149,               0.005149,               0.005149
                    149,                0.97632,                0.72135,                  1.157,                 0.6994,                0.73161,                0.72053,                0.39262,                 1.8415,                 1.2203,                  1.809,               0.005116,               0.005116,               0.005116
                    150,                 0.9744,                0.71636,                 1.1493,                0.69652,                0.72597,                0.72082,                0.39819,                 1.8405,                 1.2368,                 1.7896,               0.005083,               0.005083,               0.005083
                    151,                0.97714,                0.71039,                 1.1536,                 0.7023,                0.71323,                0.71429,                0.39242,                 1.8716,                 1.2252,                 1.8345,                0.00505,                0.00505,                0.00505
                    152,                0.96387,                0.70334,                 1.1435,                0.69768,                0.72225,                0.72132,                 0.3945,                 1.8535,                 1.2286,                 1.8278,               0.005017,               0.005017,               0.005017
